"arquivo_climatico","uf","municipio","lat","long","alt","populacao","zb","tbsm","tbum","cdh","cdd10","cdd24","hdd18"
"BRA_GO_Parauna.867320_INMET","go","parauna",-16.96,-50.43,678,11199,6,23.99745434,15.5458904109589,33273,5109.1,303.9,0.4
"BRA_GO_Pires.do.Rio.867560_INMET","go","pires_do_rio",-17.31,-48.28,752,30703,4,22.94133562,16.6556621004566,33998,4723.6,115.1,5.4
"BRA_GO_Posse.866920_INMET","go","posse",-14.09,-46.37,834,34663,6,24.43759132,15.5292579908676,31844,5269.7,335.3,0
"BRA_GO_Rio.Verde.867530_INMET","go","rio_verde",-17.8,-50.93,782,207296,6,22.80247717,15.1628082191781,28895,4672.9,126.6,6.2
"BRA_GO_Sao.Simao.867730_INMET","go","sao_simao",-18.99,-50.54,489,19110,6,23.98585616,17.745502283105,42669,5104.8,300,27.1
"BRA_MA_Alto.Parnaiba.829700_INMET","ma","alto_parnaiba",-9.11,-45.93,281,10956,7,25.74573059,19.8308447488584,57902,5747.2,657.7,0
"BRA_MA_Bacabal.817900_INMET","ma","bacabal",-4.24,-44.8,28,102656,8,27.27794521,21.8948630136986,73510,6306.5,1196.6,0
"BRA_MA_Balsas.819030_INMET","ma","balsas",-7.46,-46.03,254,92144,7,25.94791096,20.2383561643836,60586,5821,725.1,0
"BRA_MA_Barra.do.Corda.818250_INMET","ma","barra_do_corda",-5.51,-45.24,153,86151,7,26.28393836,21.113196347032,66268,5943.6,837.7,0
"BRA_MA_Buriticupu.817880_INMET","ma","buriticupu",-4.32,-46.45,175,70417,8,26.19716895,20.8921118721461,64695,5912,804.6,0
"BRA_MA_Carolina.819010_INMET","ma","carolina",-7.34,-47.46,192,23866,7,26.57884703,20.8635502283105,65965,6051.3,947.1,0
"BRA_MA_Caxias.817920_INMET","ma","caxias",-4.82,-43.34,76,161137,7,26.37559361,21.3618835616438,67962,5977.1,867.7,0
"BRA_MA_Chapadinha.817490_INMET","ma","chapadinha",-3.74,-43.35,91,77684,8,26.89509132,21.4600799086758,69955,6166.7,1058.1,0
"BRA_MA_Colinas.818660_INMET","ma","colinas",-6.03,-44.23,179,40268,7,26.05405251,20.7858561643836,63875,5859.7,755.5,0
"BRA_MA_Estreito.818630_INMET","ma","estreito",-6.65,-47.42,180,40629,7,25.84028539,20.5549657534247,62325,5781.7,685.9,0
"BRA_MA_Farol.Preguicas.817170_INMET","ma","barreirinhas",-2.59,-42.71,0,12776,8,27.49762557,23.1705365296804,81337,6386.6,1276.6,0
"BRA_MA_Farol.Santana.822770_INMET","ma","humberto_de_campos",-2.27,-43.62,0,26197,8,27.35783105,23.0321575342466,80182,6335.6,1225.6,0
"BRA_MA_Grajau.818230_INMET","ma","grajau",-5.82,-46.16,230,67626,7,26.1277968,20.7265410958904,63545,5886.6,784.8,0
"BRA_MA_Imperatriz.818220_INMET","ma","imperatriz",-5.56,-47.46,126,253123,7,26.88878995,21.2928082191781,68889,6164.4,1055.6,0
"BRA_MA_Sao.Luis.817150_INMET","ma","sao_luis",-2.53,-44.3,56,1073893,8,26.75603881,23.2500913242009,80130,6116,1006.1,0
"BRA_MA_Turiacu.821980_INMET","ma","turiacu",-1.66,-45.37,41,34826,8,26.52660959,22.981404109589,77929,6032.2,923.1,0
"BRA_MG_Aguas.Vermelhas.867220_INMET","mg","aguas_vermelhas",-15.75,-41.46,740,13447,5,21.3909589,16.0794406392694,26508,4157.7,19.3,25.5
"BRA_MG_Aimores.868030_INMET","mg","aimores",-19.5,-41.06,84,25694,5,24.66678082,18.8565182648402,49381,5353.4,500.6,0
"BRA_MG_Almenara.867430_INMET","mg","almenara",-16.18,-40.69,208,41296,5,25.21611872,18.826095890411,50674,5553.9,632.6,0
"BRA_MG_Araxa.867960_INMET","mg","araxa",-19.59,-46.94,1020,102238,3,21.40135845,13.5172260273973,17608,4161.5,55.6,28.9
"BRA_MG_Belo.Horizonte-Pampulha.AP.868000_INMET","mg","belo_horizonte",-19.82,-43.96,869,2502557,3,21.75207763,15.1519178082192,23883,4289.5,49.3,21.5
"BRA_MG_Buritis.867180_INMET","mg","buritis",-15.62,-46.42,894,24351,6,22.2758105,16.2882876712329,29737,4480.7,65.2,3.5
"BRA_MG_Caldas.868460_INMET","mg","caldas",-21.92,-46.39,1150,14396,3,17.86543379,13.6140867579909,14708,2873.4,0,508.8
"BRA_MG_Capelinha.867610_INMET","mg","capelinha",-17.69,-42.52,932,37330,3,20.08090183,15.985296803653,22170,3679.5,1.2,79.3
"BRA_MG_Carangola.868230_INMET","mg","carangola",-20.73,-42.02,399,33463,2,22.02909817,16.3458561643836,30733,4390.6,171.8,64.5
"BRA_MG_Caratinga.835920_INMET","mg","caratinga",-19.79,-42.14,615,90782,3,21.76799087,17.2109474885845,32888,4295.3,48.7,17.7
"BRA_MG_Chapada.Gaucha.867190_INMET","mg","chapada_gaucha",-15.31,-45.62,880,12495,6,22.70187215,15.9529337899543,29456,4636.2,117.5,1.4
"BRA_MG_Conceicao.das.Alagoas.867940_INMET","mg","conceicao_das_alagoas",-19.99,-48.15,568,26018,6,22.77310502,15.9010616438356,31877,4662.2,184.1,15.5
"BRA_MG_Curvelo.867800_INMET","mg","curvelo",-18.76,-44.43,670,78900,3,22.84289954,16.6504680365297,33384,4687.7,161.7,5.2
"BRA_MG_Diamantina.AP.867810_INMET","mg","diamantina",-18.23,-43.65,1356,47952,3,18.62115297,14.396700913242,12114,3146.7,1,226.5
"BRA_MG_Dores.do.Indaia.867970_INMET","mg","dores_do_indaia",-19.46,-45.6,722,13983,3,21.98504566,15.1769520547945,25960,4374.5,92.7,12.4
"BRA_MG_Espinosa.866950_INMET","mg","espinosa",-14.92,-42.8,570,32151,6,25.0175,15.8706050228311,34827,5481.4,512.5,0
"BRA_MG_Florestal.867980_INMET","mg","florestal",-19.89,-44.42,742,7209,2,20.19533105,14.3944406392694,21108,3721.3,16.4,183.4
"BRA_MG_Formiga.868200_INMET","mg","formiga",-20.46,-45.45,878,68040,2,20.92432648,14.6973630136986,21121,3987.4,37.6,57.3
"BRA_MG_Governador.Valadares.835430_INMET","mg","governador_valadares",-18.85,-41.95,263,278363,5,24.03278539,18.6758675799087,46591,5122,374.2,0
"BRA_MG_Guarda-Mor.867570_INMET","mg","guarda_mor",-17.77,-47.1,616,6738,2,21.13195205,15.8826598173516,25925,4063.2,10.7,26.2
"BRA_MG_Ibirite.868210_INMET","mg","ibirite",-20.03,-44.01,1208,173873,2,19.95296804,14.6815753424658,16378,3632.8,0.5,76.6
"BRA_MG_Itaobim.867420_INMET","mg","itaobim",-16.34,-41.29,266,21564,5,25.21686073,17.5347945205479,43853,5554.2,616.8,0
"BRA_MG_Ituiutaba.867750_INMET","mg","ituiutaba",-18.97,-49.47,560,103333,6,23.26393836,16.3011301369863,35105,4841.3,207.7,3.8
"BRA_MG_Joao.Pinheiro.AP.867580_INMET","mg","joao_pinheiro",-17.78,-46.12,870,48179,6,22.44853881,15.6502054794521,27340,4543.7,91.3,7.4
"BRA_MG_Juiz.de.Fora.836920_INMET","mg","juiz_de_fora",-21.76,-43.35,950,555284,3,18.59695205,15.086700913242,16532,3137.9,1.8,306.2
"BRA_MG_Mantena.867840_INMET","mg","mantena",-18.78,-40.98,214,28061,5,24.25599315,18.6528767123288,46955,5203.4,433,0
"BRA_MG_Maria.da.Fe.830150_INMET","mg","maria_da_fe",-22.31,-45.38,1276,14518,2,16.25302511,12.9814497716895,8046,2285.3,0,777.3
"BRA_MG_Mocambinho.867200_INMET","mg","muzambinho",-15.09,-44.02,460,20432,3,24.8360274,17.3081849315069,42080,5415.2,481.5,0
"BRA_MG_Montalvania.866930_INMET","mg","montalvania",-14.42,-44.37,512,15779,6,23.72989726,16.9104566210046,38440,5011.4,265.6,0
"BRA_MG_Monte.Verde.AP.868700_INMET","mg","camanducaia",-22.86,-46.03,1500,21080,1,15.27776256,11.8033904109589,4058,1940,0,1045.7
"BRA_MG_Montes.Claros.867400_INMET","mg","montes_claros",-16.74,-43.86,646,394350,6,23.66982877,14.9935502283105,28498,4989.5,279.2,0
"BRA_MG_Muriae.868520_INMET","mg","muriae",-21.13,-42.37,297,107263,3,23.24676941,18.8790068493151,45618,4835.1,276.6,4.2
"BRA_MG_Ouro.Branco.868230_INMET","mg","ouro_branco",-20.52,-43.69,1061,38249,3,19.67384703,15.6944634703196,20447,3531,0.8,142.1
"BRA_MG_Passa.Quatro.837370_INMET","mg","passa_quatro",-22.39,-44.97,1040,16353,2,18.2877968,13.9831050228311,13760,3025,0,360
"BRA_MG_Passos.868190_INMET","mg","passos",-20.75,-46.63,875,113122,4,20.67110731,15.2118378995434,23529,3895,25.1,78.5
"BRA_MG_Patrocinio.867780_INMET","mg","patrocinio",-18.94,-46.99,976,88648,4,20.32144977,14.1556050228311,18790,3767.3,20,67.7
"BRA_MG_Pirapora.AP.867590_INMET","mg","pirapora",-17.34,-44.94,489,56229,4,23.72343607,17.3204337899543,39040,5009.1,267.2,0.8
"BRA_MG_Rio.Pardo.de.Minas.867210_INMET","mg","rio_pardo_de_minas",-15.72,-42.44,853,30732,5,21.57821918,15.9963698630137,27296,4226.1,30.8,12.1
"BRA_MG_Sacramento.867950_INMET","mg","sacramento",-19.86,-47.44,912,25630,3,21.79762557,14.1209817351598,21815,4306.1,51.6,39.7
"BRA_MG_Salinas.867410_INMET","mg","salinas",-16.17,-42.29,495,41301,3,23.27094749,17.000901826484,36226,4843.9,213.8,2.1
"BRA_MG_Sao.Joao.del.Rei.836880_INMET","mg","sao_joao_del_rei",-21.14,-44.26,991,89378,2,19.35915525,14.8363242009132,19233,3416.1,1,229.4
"BRA_MG_Sao.Romao.867390_INMET","mg","sao_romao",-16.37,-45.07,460,11553,6,24.02018265,18.4263698630137,46261,5117.4,376,0.2
"BRA_MG_Serra.dos.Aimores.867630_INMET","mg","serra_dos_aimores",-17.78,-40.25,208,8767,5,23.25797945,19.1863812785388,47481,4839.2,230.8,2
"BRA_MG_Teofilo.Otoni.867620_INMET","mg","teofilo_otoni",-17.86,-41.51,475,141046,5,22.38800228,17.7653310502283,37296,4521.6,126.2,13.1
"BRA_MG_Timoteo.868010_INMET","mg","timoteo",-19.58,-42.64,333,87542,3,22.83237443,17.2180821917808,35093,4683.8,144.6,0.1
"BRA_MG_Tres.Marias.867790_INMET","mg","tres_marias",-18.21,-45.24,921,31028,4,21.96792237,16.1118721461187,27752,4368.3,60.4,15.1
"BRA_MG_Uberlandia.867760_INMET","mg","uberlandia",-18.92,-48.28,869,662362,4,22.9453653,13.7062214611872,22591,4725.1,154.1,17.6
"BRA_MG_Unai.AP.834280_INMET","mg","unai",-16.36,-46.91,631,82887,6,23.4338242,17.0215525114155,37049,4903.3,190.4,1.8
"BRA_MG_Varginha.868480_INMET","mg","varginha",-21.55,-45.43,955,132353,2,19.55253425,14.1352853881279,16253,3486.7,6.7,165.9
